id	company_id	ogrn	inn	full_name	share	share_percent
1	6	1037401354671	7423019252	ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "АКРОН-ИНВЕСТ"	44454000.00	
2	8	1021602841402	1654017170	МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ ТАТАРСТАН	0.00	
3	25	1081682003358	1639039451	ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "МОДУЛЬ"	1088974.00	0.20
4	36	1030100507370	0101000469	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"	0.00	
5	40	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"	0.00	
6	55	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"	0.00	
7	60	1060105018467	0105050658	УПРАВЛЕНИЕ ГОСУДАРСТВЕННОЙ СЛУЖБЫ ЗАНЯТОСТИ НАСЕЛЕНИЯ РЕСПУБЛИКИ АДЫГЕЯ		
8	63	1030100507601	0103007791	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "КОШЕХАБЛЬСКИЙ РАЙОН"		
9	74	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"		
10	92	1030100508888	0101004820	УПРАВЛЕНИЕ КУЛЬТУРЫ  АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"		
11	96	1020100700509	0105017210	МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ АДЫГЕЯ	0.00	
12	96	1020100700509	0105017210	МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ АДЫГЕЯ	0.00	
13	100	1030100507601	0103007791	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "КОШЕХАБЛЬСКИЙ РАЙОН"	0.00	
14	107	1030100507601	0103007791	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "КОШЕХАБЛЬСКИЙ РАЙОН"	0.00	
15	113	1030100507601	0103007791	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "КОШЕХАБЛЬСКИЙ РАЙОН"	0.00	
16	121	1020100703402	0105023407	МИНИСТЕРСТВО ТРУДА И СОЦИАЛЬНОГО РАЗВИТИЯ РА	0.00	
17	124	1020100509660	0103006558	АДМИНИСТРАЦИЯ КОШЕХАБЛЬСКОГО РАЙОНА	0.00	
18	126	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"	0.00	
19	127	1030100507601	0103007791	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "КОШЕХАБЛЬСКИЙ РАЙОН"	0.00	
20	129	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"		
21	131	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"	0.00	
22	132	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"		
23	133	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"	0.00	
24	134	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"		
25	135	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"		
26	136	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"	0.00	
27	137	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"		
28	138	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"	0.00	
29	139	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"	0.00	
30	140	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"		
31	141	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"	0.00	
32	142	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"		
33	146	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"	0.00	
34	147	1030100507370	0101004690	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "ГИАГИНСКИЙ РАЙОН"	0.00	
35	148	1030100507601	0103007791	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "КОШЕХАБЛЬСКИЙ РАЙОН"		
36	149	1030100507601	0103007791	АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ "КОШЕХАБЛЬСКИЙ РАЙОН"		
